epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.572,1.1834,0.9071,1.40419,0.7982,0.77788,0.85011,0.49932,1.39523,0.78747,1.59786,0.000476051,0.000476051,0.000476051
2,200.965,1.25951,1.00963,1.46573,0.78491,0.74665,0.82316,0.45911,1.43727,0.85311,1.60823,0.000940599,0.000940599,0.000940599
3,297.523,1.33177,1.10113,1.51501,0.82019,0.72803,0.81069,0.4539,1.44715,0.90603,1.62801,0.00139336,0.00139336,0.00139336
4,392.425,1.34635,1.15059,1.52381,0.77723,0.71986,0.78462,0.43977,1.47339,0.94035,1.63933,0.00137595,0.00137595,0.00137595
5,488.335,1.348,1.14258,1.52583,0.78357,0.74484,0.80307,0.43712,1.49193,0.91822,1.65508,0.00135826,0.00135826,0.00135826
6,582.642,1.35457,1.15087,1.53295,0.76199,0.72957,0.77299,0.44232,1.46173,0.90588,1.63682,0.00134058,0.00134058,0.00134058
7,677.167,1.36271,1.14673,1.54105,0.76988,0.73984,0.7965,0.4527,1.44995,0.89903,1.63649,0.0013229,0.0013229,0.0013229
8,771.539,1.36273,1.13732,1.53574,0.78905,0.71911,0.79606,0.44622,1.48026,0.8931,1.63997,0.00130521,0.00130521,0.00130521
9,868.085,1.36032,1.11366,1.52726,0.76172,0.74307,0.77706,0.44356,1.46413,0.9252,1.65983,0.00128753,0.00128753,0.00128753
10,963.516,1.35147,1.13108,1.52622,0.80951,0.71564,0.80591,0.45399,1.41921,0.87076,1.62353,0.00126985,0.00126985,0.00126985
11,1058.82,1.33405,1.11003,1.51906,0.79845,0.71939,0.80512,0.43957,1.48543,0.90504,1.65915,0.00125216,0.00125216,0.00125216
12,1153.25,1.33232,1.08689,1.50626,0.77476,0.76471,0.81259,0.47032,1.4227,0.84726,1.60871,0.00123448,0.00123448,0.00123448
13,1247.36,1.31009,1.06666,1.49468,0.77544,0.73837,0.80244,0.45273,1.45343,0.85987,1.6372,0.00121679,0.00121679,0.00121679
14,1340.83,1.31338,1.07885,1.49954,0.79166,0.75075,0.82723,0.46901,1.46056,0.85205,1.6325,0.00119911,0.00119911,0.00119911
15,1436.11,1.2954,1.06319,1.48448,0.80974,0.73064,0.81753,0.46204,1.44546,0.84013,1.62319,0.00118143,0.00118143,0.00118143
