epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.264,0.94296,0.66942,1.21168,0.86624,0.79643,0.88049,0.55023,1.2773,0.67073,1.50933,0.000476051,0.000476051,0.000476051
2,223.892,0.97999,0.68837,1.23152,0.86695,0.78316,0.87002,0.53159,1.29821,0.6885,1.50686,0.00093667,0.00093667,0.00093667
3,331.814,1.01561,0.73274,1.25841,0.83726,0.79281,0.86683,0.52497,1.3076,0.69654,1.5124,0.00138157,0.00138157,0.00138157
4,439.753,1.05184,0.76079,1.27881,0.86006,0.78004,0.86817,0.52319,1.32595,0.707,1.51144,0.00135826,0.00135826,0.00135826
5,547.389,1.05338,0.77166,1.28718,0.8412,0.77411,0.86035,0.52863,1.31084,0.71285,1.51694,0.00133469,0.00133469,0.00133469
6,655.349,1.06518,0.76901,1.28047,0.84014,0.82814,0.86878,0.54034,1.30467,0.68782,1.49074,0.00131111,0.00131111,0.00131111
7,762.961,1.06171,0.76544,1.28138,0.81242,0.8033,0.8668,0.5316,1.33152,0.71832,1.54599,0.00128753,0.00128753,0.00128753
8,871.541,1.07695,0.77984,1.29336,0.85555,0.78428,0.86533,0.53084,1.33023,0.69335,1.52558,0.00126395,0.00126395,0.00126395
9,978.947,1.06458,0.78045,1.2877,0.83403,0.76123,0.85478,0.51774,1.35161,0.72116,1.55479,0.00124037,0.00124037,0.00124037
10,1087.51,1.06901,0.7741,1.28506,0.84444,0.80119,0.87112,0.52864,1.31506,0.71915,1.52052,0.00121679,0.00121679,0.00121679
11,1194.5,1.05466,0.7564,1.28084,0.85995,0.81132,0.87821,0.53191,1.31426,0.69138,1.525,0.00119322,0.00119322,0.00119322
12,1300.92,1.06197,0.77103,1.28353,0.82193,0.80177,0.85444,0.52316,1.30533,0.69068,1.49258,0.00116964,0.00116964,0.00116964
13,1413.6,1.05273,0.752,1.27735,0.84576,0.76885,0.85602,0.52234,1.32675,0.71147,1.49375,0.00114606,0.00114606,0.00114606
14,1519.44,1.04403,0.76138,1.26805,0.80812,0.78942,0.85533,0.52718,1.30943,0.70549,1.49705,0.00112248,0.00112248,0.00112248
15,1627.64,1.0367,0.73585,1.26855,0.85079,0.78587,0.85878,0.5262,1.31702,0.70503,1.50785,0.0010989,0.0010989,0.0010989
16,1736.56,1.05668,0.76188,1.28358,0.85203,0.79845,0.87135,0.53042,1.31563,0.69147,1.5085,0.00107532,0.00107532,0.00107532
17,1846.83,1.0506,0.75882,1.27352,0.84581,0.7985,0.86662,0.53146,1.30654,0.67932,1.514,0.00105174,0.00105174,0.00105174
18,1953.04,1.03046,0.74214,1.26517,0.85462,0.80224,0.88042,0.53872,1.30003,0.67157,1.50036,0.00102817,0.00102817,0.00102817
19,2059.23,1.03124,0.71902,1.26033,0.84999,0.79407,0.87267,0.54251,1.29968,0.67701,1.50149,0.00100459,0.00100459,0.00100459
20,2167.42,1.02113,0.73496,1.25707,0.8406,0.79335,0.87692,0.54016,1.28477,0.67172,1.49237,0.000981008,0.000981008,0.000981008
21,2273.85,1.02483,0.71859,1.25824,0.88075,0.79585,0.88054,0.54365,1.27853,0.67346,1.47557,0.00095743,0.00095743,0.00095743
22,2381.22,1.00867,0.72495,1.24771,0.87655,0.78801,0.86969,0.5485,1.28312,0.67807,1.4645,0.000933851,0.000933851,0.000933851
23,2489.25,1.02014,0.7174,1.25198,0.83407,0.81923,0.87801,0.55304,1.28357,0.66295,1.47987,0.000910273,0.000910273,0.000910273
24,2596.25,1.00113,0.71403,1.24582,0.86885,0.78677,0.87855,0.55675,1.2696,0.65772,1.46947,0.000886694,0.000886694,0.000886694
