epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,5835.95,0.96384,0.77455,1.28209,0.93183,0.87646,0.94796,0.68812,0.96262,0.53621,1.23873,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,6019.69,0.9531,0.75947,1.27669,0.92058,0.91031,0.95875,0.69953,0.9514,0.51464,1.23018,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,6202.99,0.95519,0.76129,1.27902,0.94628,0.84964,0.94787,0.69186,0.95537,0.52862,1.2306,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,6386.19,0.95528,0.75447,1.27765,0.91018,0.89259,0.95225,0.70208,0.94129,0.51727,1.23102,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,6569.66,0.94244,0.7481,1.26482,0.89985,0.91163,0.95422,0.70831,0.91875,0.5111,1.1871,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,6752.61,0.9324,0.74135,1.25659,0.89513,0.90038,0.9521,0.71115,0.91017,0.49703,1.19564,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,6935.45,0.92552,0.72961,1.2462,0.91922,0.89555,0.95843,0.72012,0.90974,0.49542,1.18265,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,7118.1,0.9341,0.72863,1.25025,0.93955,0.8823,0.95541,0.71996,0.89456,0.49798,1.16368,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,7302.08,0.9231,0.72212,1.24808,0.89147,0.92001,0.95662,0.71711,0.90009,0.48883,1.16963,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,7484.96,0.91913,0.71777,1.24298,0.89696,0.91828,0.95823,0.71165,0.88518,0.48695,1.15948,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,7668.05,0.91886,0.71908,1.23898,0.90658,0.92133,0.96302,0.72056,0.87099,0.47546,1.14301,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,7850.73,0.91373,0.70979,1.24059,0.94902,0.87691,0.96374,0.72903,0.87814,0.47682,1.16593,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,8033.58,0.90777,0.70875,1.23568,0.92448,0.91021,0.96402,0.73513,0.86282,0.47851,1.14965,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,8216.31,0.89756,0.70134,1.22494,0.91404,0.92098,0.96196,0.73861,0.85051,0.47629,1.13049,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,8400.01,0.89098,0.70194,1.2255,0.93454,0.91848,0.96494,0.73984,0.84842,0.46591,1.13844,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,8582.81,0.89664,0.693,1.22359,0.93162,0.91423,0.96487,0.74272,0.84126,0.46716,1.12374,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,8765.51,0.88489,0.68154,1.21704,0.90865,0.94274,0.96297,0.74381,0.83818,0.46082,1.12705,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,8948.15,0.88176,0.68315,1.21577,0.89452,0.94247,0.96926,0.74236,0.83313,0.46068,1.12059,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,9130.71,0.88141,0.6862,1.22047,0.92416,0.91152,0.96631,0.75121,0.82669,0.45934,1.12714,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,9313.11,0.8614,0.67226,1.2076,0.93387,0.89016,0.96396,0.75295,0.82498,0.45836,1.12487,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,9495.96,0.86623,0.6688,1.20396,0.95439,0.89014,0.96284,0.7563,0.82414,0.45082,1.11559,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,9678.59,0.86181,0.66963,1.20404,0.93057,0.92514,0.96773,0.76081,0.81625,0.44649,1.10937,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,9862.23,0.86596,0.66824,1.20379,0.92443,0.93325,0.96928,0.75907,0.80997,0.44276,1.10273,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,10045,0.85585,0.66257,1.19536,0.93924,0.91998,0.96952,0.75715,0.80587,0.43821,1.10091,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,10228.3,0.85338,0.66136,1.198,0.93826,0.91684,0.97106,0.7563,0.79821,0.43547,1.0957,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,10410.6,0.84953,0.65827,1.19599,0.94446,0.91294,0.97075,0.76005,0.7927,0.43351,1.09195,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,10594.1,0.84531,0.64623,1.194,0.95552,0.90866,0.97303,0.76715,0.79031,0.43218,1.0911,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,10777.1,0.84493,0.6428,1.18945,0.94348,0.93301,0.97426,0.77117,0.78554,0.42874,1.0888,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,10960.4,0.85112,0.65103,1.19251,0.93651,0.93527,0.97313,0.77318,0.77671,0.42504,1.08042,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,11143,0.84202,0.64728,1.18564,0.93684,0.93201,0.97393,0.77806,0.76911,0.42208,1.07504,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,11326.2,0.84199,0.64164,1.18937,0.94005,0.93037,0.97383,0.77563,0.76706,0.41838,1.07538,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,11508.7,0.82981,0.64076,1.17932,0.93564,0.93718,0.97689,0.77903,0.76118,0.41654,1.07039,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,11691.7,0.82802,0.63579,1.17801,0.93345,0.93734,0.97451,0.7787,0.75761,0.41516,1.06766,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,11874.5,0.82612,0.63597,1.17413,0.92837,0.94422,0.9771,0.7798,0.75251,0.41506,1.06388,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,12058.7,0.8185,0.6266,1.16776,0.93908,0.93764,0.97748,0.7814,0.74775,0.4146,1.06098,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,12241.9,0.82074,0.62664,1.1727,0.94152,0.93753,0.97816,0.78421,0.74314,0.41375,1.05675,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,12426,0.81144,0.62257,1.16545,0.93916,0.93347,0.97933,0.7826,0.74011,0.41046,1.05421,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,12609.3,0.80839,0.6155,1.16461,0.93839,0.9339,0.97718,0.78544,0.73686,0.40898,1.05213,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,12793.4,0.80885,0.61191,1.16298,0.94653,0.92858,0.97891,0.79186,0.73251,0.40593,1.04681,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,12977.2,0.80977,0.61645,1.16364,0.94071,0.9329,0.97899,0.79215,0.72939,0.4053,1.0445,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,13162.3,0.80584,0.61331,1.16126,0.94294,0.93321,0.97864,0.79349,0.72692,0.40346,1.0427,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,13346.4,0.79897,0.60724,1.16201,0.94116,0.93481,0.97853,0.79389,0.72543,0.4015,1.04155,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,13530.6,0.79605,0.60628,1.14903,0.94144,0.93258,0.97854,0.79572,0.72355,0.40089,1.03966,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,13714.4,0.7927,0.60101,1.15022,0.93993,0.93311,0.97857,0.79644,0.72136,0.39878,1.03764,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,13898.8,0.7853,0.60135,1.14851,0.94331,0.93001,0.97889,0.7966,0.71862,0.39726,1.03594,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,14082,0.79766,0.60826,1.15606,0.96445,0.91315,0.97867,0.79558,0.71696,0.39645,1.03468,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,14265.8,0.78013,0.601,1.14802,0.96272,0.91434,0.97865,0.79697,0.71527,0.39562,1.03386,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,14450.4,0.78192,0.59739,1.15107,0.94028,0.93807,0.97866,0.79773,0.71375,0.3951,1.03337,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,14634.3,0.78144,0.594,1.14767,0.93657,0.94147,0.97845,0.79843,0.71116,0.39356,1.03141,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,14817,0.77608,0.59122,1.14297,0.93651,0.94109,0.97857,0.79924,0.70924,0.39252,1.02972,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,15000.8,0.77522,0.58497,1.14114,0.94986,0.93239,0.9783,0.80203,0.70721,0.39144,1.02848,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,15183.8,0.77469,0.58176,1.13949,0.94917,0.93366,0.97903,0.80118,0.70566,0.39026,1.02717,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,15366.9,0.77094,0.58219,1.13825,0.95698,0.93018,0.9796,0.80329,0.70424,0.38926,1.02621,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,15550.5,0.75577,0.57194,1.1292,0.95711,0.93028,0.97948,0.80394,0.70204,0.38774,1.02481,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
