epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.113,1.18263,1.57944,1.47981,0.86695,0.76993,0.86709,0.57725,1.15891,0.73921,1.44239,0.000476213,0.000476213,0.000476213
2,467.146,1.1483,1.0772,1.46907,0.76597,0.80485,0.79321,0.50522,1.19154,0.74537,1.47745,0.000921112,0.000921112,0.000921112
3,694.577,1.14876,1.07268,1.45997,0.83265,0.78783,0.87967,0.56024,1.19354,0.74607,1.45651,0.00133457,0.00133457,0.00133457
4,920.347,1.14475,1.07875,1.45758,0.87459,0.75993,0.88614,0.56982,1.152,0.70758,1.44088,0.00128753,0.00128753,0.00128753
5,1150.73,1.13336,1.03893,1.44883,0.86479,0.77348,0.87722,0.55742,1.17362,0.71674,1.45019,0.00124037,0.00124037,0.00124037
6,1375.23,1.11922,1.02826,1.43798,0.87594,0.76932,0.86939,0.5673,1.18456,0.72297,1.47369,0.00119322,0.00119322,0.00119322
7,1598.29,1.1099,1.02571,1.42887,0.86996,0.81997,0.90356,0.60239,1.14488,0.69117,1.40958,0.00114606,0.00114606,0.00114606
8,1825.45,1.09735,0.99302,1.41367,0.87431,0.81371,0.89069,0.60091,1.11259,0.67712,1.38315,0.0010989,0.0010989,0.0010989
9,2051.56,1.0884,0.99204,1.40676,0.86691,0.81894,0.89827,0.60878,1.10013,0.68688,1.38661,0.00105174,0.00105174,0.00105174
10,2278.19,1.07407,0.95851,1.39861,0.87199,0.84346,0.90721,0.62568,1.07992,0.65369,1.37337,0.00100459,0.00100459,0.00100459
11,2506.28,1.05438,0.93958,1.38751,0.93262,0.78962,0.90401,0.62981,1.0743,0.64049,1.35543,0.00095743,0.00095743,0.00095743
12,2731.99,1.04272,0.93214,1.37352,0.91636,0.84448,0.92854,0.63627,1.06209,0.62251,1.34845,0.000910273,0.000910273,0.000910273
13,2958.85,1.03765,0.91286,1.36655,0.89244,0.84893,0.91471,0.647,1.04577,0.61711,1.33321,0.000863116,0.000863116,0.000863116
14,3183.32,1.02016,0.88704,1.35743,0.89879,0.83596,0.90865,0.63296,1.0361,0.61272,1.32824,0.000815959,0.000815959,0.000815959
15,3423.04,1.00042,0.87831,1.3451,0.95167,0.83094,0.93442,0.65066,1.0297,0.59016,1.31738,0.000768802,0.000768802,0.000768802
16,3667.5,1.00063,0.87172,1.34245,0.88388,0.83249,0.91132,0.63585,1.03029,0.59318,1.32548,0.000721645,0.000721645,0.000721645
17,3911.71,0.98515,0.84346,1.32903,0.90825,0.83748,0.91929,0.65601,1.00846,0.58073,1.29837,0.000674488,0.000674488,0.000674488
18,4149.52,0.9767,0.83933,1.32486,0.90157,0.84413,0.92134,0.67234,0.98561,0.57407,1.28738,0.000627331,0.000627331,0.000627331
19,4377.37,0.9668,0.82117,1.31459,0.9409,0.83493,0.93863,0.68381,0.97922,0.569,1.28111,0.000580174,0.000580174,0.000580174
20,4603.65,0.95795,0.82027,1.30939,0.92786,0.84951,0.93507,0.67843,0.97877,0.55785,1.27218,0.000533017,0.000533017,0.000533017
21,4843.73,0.97604,0.64932,1.32583,0.92444,0.83865,0.93047,0.67504,0.96779,0.55928,1.26763,0.00048586,0.00048586,0.00048586
22,5065.75,0.94689,0.62817,1.31082,0.92134,0.81846,0.92111,0.66769,0.9601,0.55995,1.25482,0.000438703,0.000438703,0.000438703
23,5285.03,0.92483,0.60473,1.29742,0.9205,0.83233,0.92546,0.68218,0.9427,0.54248,1.25587,0.000391546,0.000391546,0.000391546
24,5503.65,0.9053,0.59002,1.28101,0.92767,0.84183,0.92952,0.69557,0.92916,0.53872,1.24038,0.000344389,0.000344389,0.000344389
25,5725.67,0.88841,0.57263,1.26459,0.94002,0.84609,0.93807,0.70577,0.92133,0.52706,1.23536,0.000297232,0.000297232,0.000297232
26,5955.33,0.8755,0.56293,1.25691,0.94995,0.8409,0.9364,0.70003,0.91779,0.52006,1.22891,0.000250075,0.000250075,0.000250075
27,6176.26,0.85689,0.54838,1.24454,0.95501,0.83216,0.93544,0.70652,0.915,0.52028,1.22531,0.000202918,0.000202918,0.000202918
28,6398.28,0.84541,0.53642,1.23157,0.92523,0.84714,0.93103,0.7079,0.8946,0.51613,1.20634,0.000155761,0.000155761,0.000155761
29,6618.37,0.82911,0.52509,1.2165,0.94013,0.84855,0.93205,0.70555,0.8879,0.51228,1.20095,0.000108604,0.000108604,0.000108604
30,6837.51,0.82354,0.52342,1.21913,0.94218,0.85798,0.93523,0.71008,0.88362,0.50847,1.19608,6.1447e-05,6.1447e-05,6.1447e-05
