epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,370.859,1.24548,1.45601,1.5267,0.86551,0.77991,0.87107,0.51304,1.2935,0.83428,1.47777,0.00999746,0.00333249,0.00999746,0.00333249,0.00999746,0.00333249,0.00999746,0.00333249
2,678.807,1.29524,1.50997,1.55631,0.80043,0.77744,0.80136,0.45187,1.35331,0.89884,1.53274,0.0199779,0.00665931,0.0199779,0.00665931,0.0199779,0.00665931,0.0199779,0.00665931
3,974.294,1.36447,1.61574,1.6182,0.80304,0.72004,0.80125,0.43477,1.40183,1.00496,1.60048,0.0298804,0.00996012,0.0298804,0.00996012,0.0298804,0.00996012,0.0298804,0.00996012
4,1265.2,1.44532,1.72809,1.6887,0.82224,0.69562,0.80375,0.43234,1.45146,1.01158,1.61797,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,1549.96,1.44949,1.73322,1.6914,0.78942,0.70594,0.78631,0.41822,1.44337,1.02114,1.62539,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,1840.93,1.44648,1.74279,1.69421,0.85047,0.68572,0.80023,0.44008,1.4218,0.98733,1.60556,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,2130.53,1.44437,1.73238,1.69024,0.85276,0.69742,0.81165,0.45116,1.40635,0.98975,1.57752,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,2422.88,1.43757,1.72202,1.68526,0.83107,0.71225,0.81207,0.45363,1.4152,0.98505,1.59164,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,2705.88,1.42911,1.70496,1.67957,0.82517,0.74063,0.82394,0.45996,1.40485,0.96932,1.59104,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,2988.78,1.4315,1.70924,1.68292,0.82479,0.75254,0.83351,0.46234,1.38279,0.94674,1.55584,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
11,3271.8,1.42209,1.70742,1.67212,0.83985,0.74128,0.83482,0.46562,1.36997,0.94787,1.55436,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
12,3554.93,1.41822,1.68804,1.66806,0.88542,0.7239,0.83696,0.47498,1.35842,0.93307,1.54579,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
13,3839.02,1.40987,1.67611,1.66228,0.86108,0.74707,0.84914,0.48336,1.35744,0.92076,1.54499,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
14,4123.67,1.40744,1.67344,1.66046,0.83714,0.77256,0.85239,0.48724,1.3476,0.91257,1.54135,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
15,4406.79,1.39799,1.67095,1.65144,0.86187,0.7652,0.85289,0.4888,1.34188,0.90989,1.52913,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
16,4689.14,1.39568,1.66024,1.64826,0.88593,0.75243,0.85347,0.49065,1.3367,0.90105,1.52275,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
17,4972.3,1.39217,1.64615,1.64358,0.86528,0.75612,0.85464,0.49303,1.33152,0.89381,1.51811,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
18,5256.01,1.39018,1.64953,1.64523,0.85004,0.76651,0.85514,0.49217,1.33391,0.88479,1.51803,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
19,5538.38,1.38393,1.64299,1.64319,0.85201,0.7698,0.85752,0.49501,1.32882,0.8805,1.51281,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
20,5819.83,1.38067,1.62838,1.63068,0.85205,0.7688,0.86144,0.49889,1.32546,0.87549,1.50961,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
21,6104.3,1.37148,1.61724,1.62341,0.8569,0.77084,0.86296,0.49935,1.32179,0.87151,1.50677,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
22,6387.59,1.3673,1.61832,1.621,0.8583,0.76848,0.86235,0.49933,1.31875,0.86807,1.5037,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
23,6667.04,1.36113,1.59552,1.61194,0.85807,0.76264,0.8636,0.50109,1.31655,0.86507,1.50097,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
24,6950.86,1.3577,1.59796,1.60907,0.85655,0.76764,0.86217,0.50347,1.31423,0.8613,1.49829,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
25,7235.01,1.3461,1.58099,1.60152,0.85297,0.76936,0.86559,0.5065,1.31265,0.85794,1.49568,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
26,7521.88,1.33986,1.5715,1.59368,0.86113,0.76928,0.86687,0.50702,1.31023,0.85524,1.49305,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,7807.46,1.33948,1.56998,1.59312,0.85878,0.776,0.86779,0.50878,1.30752,0.85161,1.49082,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
28,8091.97,1.32757,1.55627,1.58645,0.85474,0.7772,0.86833,0.51119,1.3057,0.84879,1.48869,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
29,8385.03,1.31952,1.54089,1.57703,0.86589,0.77862,0.87091,0.5117,1.30329,0.84633,1.48591,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
