epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4609.9,1.40532,1.20703,1.56116,0.78491,0.72571,0.78776,0.44594,1.45416,0.92088,1.62025,0.008614,0.008614,0.008614
44,4714.82,1.39196,1.1894,1.54581,0.79178,0.72232,0.77398,0.44108,1.45284,0.91223,1.62127,0.008581,0.008581,0.008581
45,4823.79,1.38899,1.17496,1.53868,0.79779,0.73495,0.80111,0.45558,1.4566,0.91334,1.6085,0.008548,0.008548,0.008548
46,4928.97,1.38716,1.17772,1.54867,0.83127,0.73061,0.78933,0.4412,1.44912,0.87577,1.61536,0.008515,0.008515,0.008515
47,5033.77,1.38413,1.15472,1.53379,0.80363,0.74082,0.80595,0.44732,1.43841,0.89589,1.59874,0.008482,0.008482,0.008482
48,5136.91,1.37668,1.14605,1.53303,0.76233,0.76426,0.80361,0.44906,1.42947,0.88688,1.59819,0.008449,0.008449,0.008449
49,5241.01,1.38413,1.14835,1.53205,0.78535,0.72234,0.80131,0.45663,1.4324,0.89423,1.60403,0.008416,0.008416,0.008416
50,5343.49,1.37379,1.13388,1.52879,0.82413,0.74603,0.8118,0.47531,1.42563,0.86245,1.58483,0.008383,0.008383,0.008383
51,5446.29,1.36277,1.12545,1.5169,0.81705,0.7486,0.81478,0.4678,1.4313,0.85018,1.60228,0.00835,0.00835,0.00835
52,5550.48,1.36826,1.12411,1.52886,0.78689,0.74211,0.80926,0.46473,1.43544,0.85291,1.60543,0.008317,0.008317,0.008317
53,5653.01,1.36161,1.10251,1.52417,0.85797,0.71294,0.80932,0.46256,1.43258,0.85411,1.60627,0.008284,0.008284,0.008284
54,5755.79,1.34997,1.09519,1.50861,0.8309,0.75273,0.82163,0.47506,1.4228,0.82404,1.58898,0.008251,0.008251,0.008251
55,5859.51,1.35387,1.10768,1.51164,0.8265,0.74824,0.83176,0.49281,1.42857,0.84826,1.59946,0.008218,0.008218,0.008218
