epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,402.382,1.67824,3.07738,1.89941,0.6235,0.4192,0.48731,0.22745,1.68318,1.84013,1.92054,0.00999746,0.00333249,0.00999746,0.00333249,0.00999746,0.00333249,0.00999746,0.00333249
2,741.072,1.68259,2.37852,1.92778,0.59477,0.46711,0.50282,0.23745,1.71339,1.68316,1.97999,0.0199926,0.00666419,0.0199926,0.00666419,0.0199926,0.00666419,0.0199926,0.00666419
3,1062.57,1.69702,2.31146,1.9715,0.62042,0.49949,0.54012,0.24811,1.70907,1.61713,1.99724,0.0299682,0.00998939,0.0299682,0.00998939,0.0299682,0.00998939,0.0299682,0.00998939
4,1389.62,1.67833,2.23767,1.97236,0.63126,0.5491,0.57887,0.2728,1.63045,1.49636,1.89142,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,1717.2,1.62308,2.14661,1.91064,0.70864,0.54604,0.64311,0.31785,1.59929,1.41772,1.84709,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,2040.06,1.59047,2.08787,1.88239,0.72971,0.56467,0.66819,0.334,1.56754,1.35148,1.83306,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,2363.1,1.57184,2.0333,1.85878,0.75834,0.59917,0.69413,0.35006,1.55133,1.30556,1.80392,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,2673.62,1.54753,1.9965,1.83845,0.74464,0.5927,0.6875,0.35563,1.53828,1.26831,1.78154,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,2985.59,1.53102,1.95769,1.81689,0.78097,0.6112,0.72317,0.37054,1.51284,1.23341,1.74946,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,3294.36,1.52937,1.94242,1.81166,0.77402,0.65142,0.74868,0.38198,1.49118,1.19803,1.72534,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
