epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.5283,1.02472,0.73671,1.27548,0.8559,0.80925,0.87376,0.5439,1.29846,0.69176,1.51136,0.000476051,0.000476051,0.000476051
2,193.807,1.09336,0.79135,1.31549,0.82155,0.80114,0.84839,0.51305,1.34493,0.722,1.52178,0.000933528,0.000933528,0.000933528
3,285.554,1.14109,0.85192,1.35175,0.81646,0.77288,0.8361,0.50861,1.34065,0.73966,1.52083,0.00137214,0.00137214,0.00137214
4,376.72,1.17072,0.89165,1.37338,0.85091,0.77171,0.85146,0.50716,1.37369,0.76769,1.55743,0.00134412,0.00134412,0.00134412
5,471.033,1.16956,0.89334,1.38256,0.83011,0.79531,0.86078,0.52758,1.35512,0.73504,1.54219,0.00131582,0.00131582,0.00131582
6,565.519,1.17317,0.88987,1.37118,0.8359,0.78784,0.85657,0.52426,1.34279,0.74143,1.5238,0.00128753,0.00128753,0.00128753
7,659.884,1.17157,0.88369,1.36717,0.84871,0.77386,0.85204,0.51507,1.34712,0.73902,1.54491,0.00125923,0.00125923,0.00125923
8,753.404,1.17867,0.8965,1.37706,0.80956,0.78448,0.84348,0.506,1.35517,0.75536,1.53254,0.00123094,0.00123094,0.00123094
9,846.755,1.17629,0.89899,1.37927,0.838,0.76166,0.83929,0.4992,1.36421,0.75379,1.54926,0.00120265,0.00120265,0.00120265
10,940.721,1.17324,0.89108,1.37532,0.82716,0.78546,0.85821,0.51579,1.34739,0.73047,1.53671,0.00117435,0.00117435,0.00117435
11,1033.57,1.16217,0.87012,1.3662,0.85568,0.7938,0.86245,0.52955,1.32496,0.7203,1.51949,0.00114606,0.00114606,0.00114606
12,1127.45,1.15659,0.87343,1.35657,0.84221,0.774,0.85709,0.5188,1.36896,0.73882,1.53058,0.00111776,0.00111776,0.00111776
13,1222.92,1.15098,0.85847,1.36095,0.83099,0.80235,0.86319,0.53418,1.31477,0.72433,1.49934,0.00108947,0.00108947,0.00108947
14,1317.45,1.14183,0.86126,1.34818,0.84426,0.805,0.86347,0.52901,1.33026,0.71019,1.51903,0.00106118,0.00106118,0.00106118
15,1413.97,1.13815,0.83766,1.35083,0.84091,0.83473,0.87439,0.53133,1.32401,0.70943,1.50204,0.00103288,0.00103288,0.00103288
16,1507.27,1.14881,0.85811,1.35577,0.85238,0.79721,0.86705,0.52948,1.31211,0.71616,1.49082,0.00100459,0.00100459,0.00100459
